id,registration_no,room_no,room_type,reserved_date,negotiated_price,no_of_adults,no_of_children,no_of_occupant,no_of_extra_beds,ap,cp,ep,ap_count,cp_count,ep_count,map_lunch,map_lunch_count,map_dinner,map_dinner_count
3986,REG_30052026_00001,203,Standard Double,2026-05-30,2057.00,2,0,2,0,f,f,f,0,0,0,f,0,f,0
4000,REG_31052026_00001,202,Standard Double,2026-05-31,1662.34,2,0,2,0,f,f,f,0,0,0,f,0,t,2
4001,REG_31052026_00002,301,Standard Single,2026-05-31,1662.34,2,0,2,0,f,f,f,0,0,0,f,0,t,2
4002,REG_31052026_00003,602,Executive Apartment,2026-05-31,1662.34,2,0,2,0,f,f,f,0,0,0,f,0,t,2
4003,REG_31052026_00004,305,Deluxe Double,2026-05-31,1662.34,3,0,3,1,f,f,f,0,0,0,f,0,t,3
4004,REG_31052026_00004,306,Deluxe Double,2026-05-31,1662.34,2,0,2,0,f,f,f,0,0,0,f,0,t,2
4005,REG_31052026_00005,303,Standard Double,2026-05-31,1662.34,2,0,2,0,f,f,f,0,0,0,f,0,t,2
4006,REG_31052026_00005,302,Standard Double,2026-05-31,1662.34,2,0,2,0,f,f,f,0,0,0,f,0,t,2
4007,REG_31052026_00006,206,Deluxe Double,2026-05-31,1662.34,3,0,3,1,f,f,f,0,0,0,f,0,t,3
4008,REG_31052026_00006,205,Deluxe Double,2026-05-31,1662.34,3,0,3,1,f,f,f,0,0,0,f,0,t,3
4009,REG_31052026_00007,7031,Family Apartment(King),2026-05-31,2285.71,2,1,3,1,f,f,f,0,0,0,f,0,t,3
4010,REG_31052026_00007,7032,Family Apartment(Twin),2026-05-31,2285.71,2,1,3,1,f,f,f,0,0,0,f,0,t,3
4011,REG_31052026_00008,204,Deluxe Double,2026-05-31,1662.00,3,0,3,1,f,f,f,0,0,0,f,0,t,3
4012,REG_31052026_00009,6031,Family Apartment(King),2026-05-31,1662.34,1,0,1,0,f,t,f,0,1,0,f,0,f,0
4013,REG_31052026_00009,6032,Family Apartment(Twin),2026-05-31,1662.34,3,0,3,1,f,t,f,0,3,0,f,0,f,0
4014,REG_31052026_00009,701,Deluxe Studio Apartment,2026-05-31,1662.34,1,0,1,0,f,t,f,0,1,0,f,0,f,0
4015,REG_31052026_00009,702,Executive Apartment,2026-05-31,1662.34,3,0,3,1,f,t,f,0,3,0,f,0,f,0
4016,REG_31052026_00009,5051,Family Apartment(King),2026-05-31,1662.34,1,0,1,0,f,t,f,0,1,0,f,0,f,0
4017,REG_31052026_00009,5052,Family Apartment(Twin),2026-05-31,1662.34,2,0,2,0,f,t,f,0,2,0,f,0,f,0
4018,REG_31052026_00010,501,Deluxe Studio Apartment,2026-05-31,1662.34,3,0,3,1,f,f,f,0,0,0,f,0,t,3
4019,REG_31052026_00011,304,Executive,2026-05-31,1662.34,2,0,2,0,f,f,f,0,0,0,f,0,t,2
4020,REG_31052026_00011,307,Deluxe Double,2026-05-31,1662.34,2,0,2,0,f,f,f,0,0,0,f,0,t,2
4021,REG_01062026_00001,602,Executive Apartment,2026-06-01,1662.34,2,0,2,0,f,f,f,0,0,0,f,0,f,0
