room_reservation_id,reservation_ref_no,room_no,reserved_date,booking_status,room_type,negotiated_price,no_of_occupant,no_of_adults,no_of_children,no_of_children_above_six,no_of_extra_beds,negotiated_extra_bed_rate,ep,ep_count,ep_rate,cp,cp_count,cp_rate,map_lunch,map_lunch_count,map_lunch_rate,ap,ap_count,ap_rate,total_room_amount,room_rate,total_without_tax,breakfast_count,lunch_count,dinner_count,breakfast_price,lunch_price,dinner_price,other_meal,other_meal_count,other_meal_rate,bst,service_charge,reservation_status,entered_by,map_dinner,map_dinner_count,map_dinner_rate,schedule_type,cnb_count_six_to_ten,cnb_count_below_six,foc
10654,RES_29042026_01596,307,2026-06-07,open,Deluxe Double,1662.34,3,3,0,0,1,588.74,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,4820.02,1662.34,4173.18,3,0,3,277.06,363.64,363.64,f,0,0.00,1.00,1.00,reserved,,t,3,1922.10,multiple,0,0,f
10653,RES_29042026_01596,204,2026-06-01,open,Deluxe Double,1662.34,3,3,0,0,1,588.74,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,4820.02,1662.34,4173.18,3,0,3,277.06,363.64,363.64,f,0,0.00,1.00,1.00,reserved,,t,3,1922.10,multiple,0,0,f
11240,RES_25052026_01776,205,2026-06-11,open,Deluxe Double,1662.34,2,2,0,0,0,935.06,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3450.01,1662.34,2987.02,2,0,2,277.06,385.28,385.28,f,0,0.00,1.00,1.00,reserved,Sherab Dorji,t,2,1324.68,single,0,0,f
11241,RES_25052026_01776,206,2026-06-11,open,Deluxe Double,1662.34,2,2,0,0,0,935.06,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3450.01,1662.34,2987.02,2,0,2,277.06,385.28,385.28,f,0,0.00,1.00,1.00,reserved,Sherab Dorji,t,2,1324.68,single,0,0,f
11242,RES_25052026_01777,307,2026-06-02,open,Deluxe Double,1662.34,2,2,0,0,0,935.06,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3450.01,1662.34,2987.02,0,0,0,277.06,385.28,385.28,f,0,0.00,1.00,1.00,reserved,,t,2,1324.68,single,0,0,f
11233,RES_23052026_01770,502,2026-06-03,close,Executive Apartment,2182.34,2,2,0,0,0,571.43,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3600.60,1662.34,3117.40,2,0,2,173.16,294.37,294.37,f,0,0.00,1.00,1.00,reserved,Sherab Dorji,t,2,935.06,single,0,0,f
11270,RES_25052026_01779,305,2026-06-02,open,Deluxe Double,1662.34,2,2,0,0,0,571.43,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3200.00,1662.34,2770.56,2,0,2,207.79,346.32,346.32,f,0,0.00,1.00,1.00,reserved,,t,2,1108.22,multiple,0,0,f
11271,RES_25052026_01779,501,2026-06-02,open,Deluxe Studio Apartment,1662.34,2,2,0,0,0,571.43,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3200.00,1662.34,2770.56,2,0,2,207.79,346.32,346.32,f,0,0.00,1.00,1.00,reserved,,t,2,1108.22,multiple,0,0,f
11272,RES_25052026_01779,302,2026-06-02,open,Standard Double,1662.34,2,2,0,0,0,571.43,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3200.00,1662.34,2770.56,2,0,2,207.79,346.32,346.32,f,0,0.00,1.00,1.00,reserved,,t,2,1108.22,multiple,0,0,f
11273,RES_25052026_01779,303,2026-06-02,open,Standard Double,1662.34,2,2,0,0,0,571.43,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3200.00,1662.34,2770.56,2,0,2,207.79,346.32,346.32,f,0,0.00,1.00,1.00,reserved,,t,2,1108.22,multiple,0,0,f
11280,RES_25052026_01780,307,2026-06-11,open,Deluxe Double,1662.34,3,3,0,0,1,779.22,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,5189.99,1662.34,4493.50,3,0,3,303.03,380.95,380.95,f,0,0.00,1.00,1.00,reserved,Sherab Dorji,t,3,2051.94,single,0,0,f
11290,RES_26052026_01783,602,2026-06-12,open,Executive Apartment,1662.34,2,2,0,0,0,779.22,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3400.02,1662.34,2943.74,2,0,2,277.06,363.64,363.64,f,0,0.00,1.00,1.00,reserved,,t,2,1281.40,single,0,0,f
11289,RES_26052026_01783,501,2026-06-12,open,Deluxe Studio Apartment,1662.34,2,2,0,0,0,779.22,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3400.02,1662.34,2943.74,2,0,2,277.06,363.64,363.64,f,0,0.00,1.00,1.00,reserved,,t,2,1281.40,single,0,0,f
